Home Assistant notifications (Log started: 2025-12-25T10:40:36.497140+00:00)
--------------------------------------------------------------------------------
2025-12-25T13:18:57.478028+00:00 ; Hue9GF ; ON
2025-12-25T13:19:47.477716+00:00 ; HueWhite0475 ; OFF
2025-12-25T13:20:00.485141+00:00 ; Hue9GF ; OFF
2025-12-25T13:20:01.473574+00:00 ; HueWhite0475 ; ON
2025-12-25T13:21:26.471157+00:00 ; HueWhite0475 ; OFF
2025-12-25T13:21:52.478811+00:00 ; HueWhite0475 ; ON
2025-12-25T13:21:56.484933+00:00 ; HueWhite0475 ; OFF
2025-12-25T13:22:13.477959+00:00 ; HueWhite0475 ; ON
2025-12-25T13:22:34.469578+00:00 ; Hue9L7 ; ON
2025-12-25T13:22:52.478007+00:00 ; HueWhite1549 ; ON
2025-12-25T13:23:34.484867+00:00 ; ESPZB3light ; OFF
2025-12-25T13:24:11.477771+00:00 ; HueWhite1549 ; OFF
2025-12-25T13:24:23.475057+00:00 ; HueWhite1549 ; ON
2025-12-25T13:25:00.478644+00:00 ; HueWhite1549 ; OFF
2025-12-25T13:25:28.485104+00:00 ; Hue9L7 ; OFF
2025-12-25T13:26:13.477738+00:00 ; Hue9GF ; ON
2025-12-25T13:26:32.477406+00:00 ; ESPZB1light ; OFF
2025-12-25T13:26:49.469296+00:00 ; Hue9GF ; OFF
2025-12-25T13:27:00.483713+00:00 ; Hue9GF ; ON
2025-12-25T13:27:07.477512+00:00 ; Hue9GF ; OFF
2025-12-25T13:27:27.477426+00:00 ; HueWhite0475 ; OFF
2025-12-25T13:28:27.478174+00:00 ; ESPZB3light ; ON
2025-12-25T13:28:38.483903+00:00 ; HueWhite0475 ; ON
2025-12-25T13:28:55.478466+00:00 ; HueWhite0475 ; OFF
2025-12-25T13:28:58.474718+00:00 ; HueWhite0475 ; ON
2025-12-25T13:29:37.478074+00:00 ; Hue9L7 ; ON
2025-12-25T13:30:22.485485+00:00 ; ESPZB3light ; OFF
2025-12-25T13:31:25.478210+00:00 ; ESPZB1light ; ON
2025-12-25T13:31:34.478774+00:00 ; Hue9L7 ; OFF
2025-12-25T13:31:59.483070+00:00 ; ESPZB1light ; OFF
2025-12-25T13:32:19.478531+00:00 ; ESPZB1light ; ON
2025-12-25T13:32:34.478651+00:00 ; Hue9GF ; ON
2025-12-25T13:32:43.478422+00:00 ; Hue9L7 ; ON
2025-12-25T13:33:07.484984+00:00 ; ESPZB3light ; ON
2025-12-25T13:33:39.475033+00:00 ; ESPZB3light ; OFF
2025-12-25T13:33:52.478414+00:00 ; Hue9GF ; OFF
