Timestamp,Device,Command
2025-12-23T15:09:31.170520+00:00,Hue9L7,OFF
2025-12-23T15:10:15.128735+00:00,HueWhite0475,OFF
2025-12-23T15:11:55.121865+00:00,ESPZB2light,OFF
2025-12-23T15:12:09.133995+00:00,ESPZB3light,OFF
2025-12-23T15:12:20.125629+00:00,ESPZB2light,ON
2025-12-23T15:12:58.125783+00:00,ESPZB2light,OFF
2025-12-23T15:13:05.128167+00:00,ESPZB2light,ON
2025-12-23T15:13:50.135341+00:00,ESPZB3light,ON
2025-12-23T15:13:54.128441+00:00,Hue9GF,OFF
2025-12-23T15:14:07.128650+00:00,ESPZB3light,OFF
2025-12-23T15:14:28.128288+00:00,ESPZB1light,OFF
2025-12-23T15:15:54.133758+00:00,Hue9GF,ON
2025-12-23T15:16:00.128130+00:00,HueWhite0475,ON
2025-12-23T15:16:01.125555+00:00,ESPZB3light,ON
2025-12-23T15:16:14.129632+00:00,HueWhite1549,OFF
2025-12-23T15:16:59.128651+00:00,ESPZB1light,ON
2025-12-23T15:17:37.122431+00:00,Hue9L7,ON
2025-12-23T15:17:51.126883+00:00,Hue9L7,OFF
2025-12-23T15:18:04.128123+00:00,ESPZB3light,OFF
2025-12-23T15:18:22.136325+00:00,ESPZB3light,ON
2025-12-23T15:18:55.127508+00:00,ESPZB2light,OFF
2025-12-23T15:19:07.129139+00:00,Hue9L7,ON
2025-12-23T15:19:22.128418+00:00,HueWhite0475,OFF
2025-12-23T15:20:01.135169+00:00,HueWhite0475,ON
2025-12-23T15:20:02.125353+00:00,ESPZB3light,OFF
2025-12-23T15:20:57.127154+00:00,Hue9GF,OFF
2025-12-23T15:21:07.126530+00:00,HueWhite1549,ON
2025-12-23T15:21:49.134609+00:00,ESPZB1light,OFF
2025-12-23T15:22:09.126846+00:00,HueWhite0475,OFF
2025-12-23T15:22:20.127733+00:00,ESPZB1light,ON
2025-12-23T15:23:47.122632+00:00,Hue9GF,ON
2025-12-23T15:24:01.133385+00:00,Hue9GF,OFF
2025-12-23T15:24:35.128754+00:00,HueWhite1549,OFF
2025-12-23T15:24:40.128346+00:00,HueWhite1549,ON
2025-12-23T15:25:31.128162+00:00,Hue9GF,ON
2025-12-23T15:25:43.135555+00:00,ESPZB1light,OFF
2025-12-23T15:26:01.128272+00:00,Hue9GF,OFF
2025-12-23T15:26:20.129425+00:00,ESPZB1light,ON
2025-12-23T15:26:39.124134+00:00,HueWhite1549,OFF
2025-12-23T15:28:06.134969+00:00,ESPZB1light,OFF
2025-12-23T15:28:12.129896+00:00,ESPZB3light,ON
2025-12-23T15:28:31.127874+00:00,HueWhite1549,ON
2025-12-23T15:28:33.128119+00:00,HueWhite1549,OFF
2025-12-23T15:29:24.136428+00:00,ESPZB1light,ON
2025-12-23T15:29:38.128204+00:00,Hue9GF,ON
2025-12-23T15:29:41.128682+00:00,ESPZB3light,OFF
2025-12-23T15:30:04.128265+00:00,ESPZB3light,ON
2025-12-23T15:30:36.140703+00:00,HueWhite0475,ON
2025-12-23T15:30:52.129073+00:00,ESPZB2light,ON
2025-12-23T15:31:06.127372+00:00,ESPZB2light,OFF
2025-12-23T15:31:45.126160+00:00,HueWhite1549,ON
2025-12-23T15:32:06.132567+00:00,ESPZB1light,OFF
2025-12-23T15:32:29.128861+00:00,ESPZB2light,ON
2025-12-23T15:32:48.126538+00:00,Hue9L7,OFF
2025-12-23T15:33:27.135717+00:00,HueWhite1549,OFF
2025-12-23T15:33:39.127214+00:00,HueWhite1549,ON
2025-12-23T15:34:51.128041+00:00,ESPZB3light,OFF
2025-12-23T15:34:54.121256+00:00,Hue9GF,OFF
2025-12-23T15:36:05.123594+00:00,Hue9L7,ON
2025-12-23T15:36:18.125543+00:00,HueWhite0475,OFF
2025-12-23T15:36:22.128318+00:00,ESPZB3light,ON
2025-12-23T15:37:13.121711+00:00,HueWhite1549,OFF
2025-12-23T15:37:17.128980+00:00,ESPZB1light,ON
2025-12-23T15:37:46.129014+00:00,ESPZB1light,OFF
2025-12-23T15:37:57.122674+00:00,HueWhite1549,ON
2025-12-23T15:39:11.126083+00:00,HueWhite1549,OFF
2025-12-23T15:39:15.135414+00:00,ESPZB1light,ON
2025-12-23T15:39:35.121648+00:00,HueWhite0475,ON
2025-12-23T15:40:26.128226+00:00,Hue9L7,OFF
2025-12-23T15:40:27.133995+00:00,ESPZB2light,OFF
2025-12-23T15:40:56.125039+00:00,HueWhite1549,ON
2025-12-23T15:41:10.128848+00:00,ESPZB1light,OFF
2025-12-23T15:41:12.125597+00:00,Hue9L7,ON
2025-12-23T15:42:34.136333+00:00,ESPZB1light,ON
2025-12-23T15:43:10.128889+00:00,Hue9GF,ON
2025-12-23T15:43:36.130280+00:00,HueWhite0475,OFF
2025-12-23T15:44:11.132518+00:00,HueWhite0475,ON
2025-12-23T15:44:37.128252+00:00,ESPZB1light,OFF
2025-12-23T15:44:41.128191+00:00,Hue9L7,OFF
2025-12-23T15:45:00.128231+00:00,HueWhite0475,OFF
2025-12-23T15:45:30.129073+00:00,Hue9L7,ON
2025-12-23T15:46:20.135459+00:00,ESPZB1light,ON
2025-12-23T15:46:27.128364+00:00,Hue9GF,OFF
2025-12-23T15:47:21.121152+00:00,HueWhite1549,OFF
2025-12-23T15:47:40.119551+00:00,Hue9GF,ON
2025-12-23T15:47:56.122605+00:00,ESPZB1light,OFF
2025-12-23T15:48:41.122973+00:00,ESPZB3light,OFF
2025-12-23T15:48:54.128856+00:00,Hue9L7,OFF
2025-12-23T15:49:13.130762+00:00,HueWhite0475,ON
2025-12-23T15:50:17.125751+00:00,HueWhite1549,ON
2025-12-23T15:51:07.130168+00:00,ESPZB2light,ON
2025-12-23T15:52:12.149652+00:00,ESPZB2light,OFF
2025-12-23T15:52:31.128104+00:00,HueWhite1549,OFF
2025-12-23T15:52:51.128337+00:00,HueWhite0475,OFF
2025-12-23T15:53:54.135675+00:00,ESPZB2light,ON
2025-12-23T15:54:05.125749+00:00,Hue9GF,OFF
2025-12-23T15:54:09.121429+00:00,HueWhite1549,ON
2025-12-23T15:54:11.128282+00:00,ESPZB3light,ON
2025-12-23T15:56:35.135068+00:00,Hue9GF,ON
2025-12-23T15:56:45.132376+00:00,ESPZB2light,OFF
2025-12-23T15:57:19.125770+00:00,HueWhite1549,OFF
2025-12-23T15:57:30.128416+00:00,HueWhite1549,ON
2025-12-23T15:57:57.153079+00:00,HueWhite1549,OFF
2025-12-23T15:57:57.154218+00:00,Hue9L7,ON
2025-12-23T15:58:43.129263+00:00,HueWhite0475,ON
2025-12-23T15:59:25.126727+00:00,ESPZB3light,OFF
2025-12-23T15:59:40.137815+00:00,Hue9L7,OFF
2025-12-23T16:00:22.127685+00:00,Hue9L7,ON
2025-12-23T16:00:34.124703+00:00,HueWhite1549,ON
2025-12-23T16:00:44.124819+00:00,Hue9GF,OFF
2025-12-23T16:01:23.134178+00:00,ESPZB1light,ON
2025-12-23T16:01:54.129836+00:00,ESPZB2light,ON
2025-12-23T16:03:10.128601+00:00,Hue9GF,ON
2025-12-23T16:03:29.135557+00:00,Hue9GF,OFF
2025-12-23T16:03:42.128979+00:00,Hue9GF,ON
2025-12-23T16:04:02.121945+00:00,ESPZB1light,OFF
2025-12-23T16:04:13.128339+00:00,Hue9L7,OFF
2025-12-23T16:05:11.128555+00:00,ESPZB2light,OFF
2025-12-23T16:05:47.134702+00:00,Hue9GF,OFF
2025-12-23T16:06:07.125648+00:00,ESPZB1light,ON
2025-12-23T16:06:30.127431+00:00,Hue9GF,ON
2025-12-23T16:06:32.129165+00:00,ESPZB1light,OFF
2025-12-23T16:06:40.134285+00:00,HueWhite1549,OFF
2025-12-23T16:07:53.128024+00:00,ESPZB1light,ON
2025-12-23T16:08:04.129259+00:00,HueWhite0475,OFF
2025-12-23T16:08:05.127979+00:00,HueWhite1549,ON
2025-12-23T16:08:50.135425+00:00,ESPZB2light,ON
2025-12-23T16:09:27.120701+00:00,ESPZB3light,ON
2025-12-23T16:09:38.129476+00:00,Hue9GF,OFF
2025-12-23T16:10:18.128256+00:00,Hue9L7,ON
2025-12-23T16:11:03.127400+00:00,ESPZB2light,OFF
2025-12-23T16:11:13.129543+00:00,ESPZB1light,OFF
2025-12-23T16:11:45.119572+00:00,ESPZB1light,ON
2025-12-23T16:11:52.127520+00:00,HueWhite0475,ON
2025-12-23T16:11:58.133949+00:00,ESPZB2light,ON
2025-12-23T16:12:42.125061+00:00,HueWhite0475,OFF
2025-12-23T16:12:47.127608+00:00,HueWhite1549,OFF
2025-12-23T16:14:21.135303+00:00,HueWhite1549,ON
2025-12-23T16:14:54.126444+00:00,HueWhite0475,ON
2025-12-23T16:15:12.128281+00:00,Hue9GF,ON
2025-12-23T16:16:56.135405+00:00,ESPZB1light,OFF
2025-12-23T16:17:01.128380+00:00,ESPZB3light,OFF
2025-12-23T16:17:31.121866+00:00,Hue9L7,OFF
2025-12-23T16:17:42.129845+00:00,Hue9GF,OFF
2025-12-23T16:18:00.135753+00:00,ESPZB1light,ON
2025-12-23T16:18:03.127708+00:00,Hue9L7,ON
2025-12-23T16:19:14.127416+00:00,Hue9L7,OFF
2025-12-23T16:19:22.121441+00:00,ESPZB3light,ON
2025-12-23T16:20:05.133633+00:00,ESPZB3light,OFF
2025-12-23T16:20:09.125712+00:00,Hue9L7,ON
2025-12-23T16:20:36.128537+00:00,Hue9L7,OFF
