Home Assistant notifications (Log started: 2025-12-24T10:35:32.530654+00:00)
--------------------------------------------------------------------------------
2025-12-24T11:38:31.517454+00:00 ; HueWhite0475 ; ON
2025-12-24T11:38:55.515960+00:00 ; ESPZB1light ; OFF
2025-12-24T11:38:59.517881+00:00 ; HueWhite1549 ; OFF
2025-12-24T11:39:21.523771+00:00 ; ESPZB1light ; ON
2025-12-24T11:39:42.513477+00:00 ; ESPZB3light ; OFF
2025-12-24T11:39:54.516886+00:00 ; ESPZB1light ; OFF
2025-12-24T11:40:38.509116+00:00 ; ESPZB2light ; ON
2025-12-24T11:43:04.515912+00:00 ; ESPZB3light ; ON
2025-12-24T11:43:48.517352+00:00 ; HueWhite1549 ; ON
2025-12-24T11:44:01.523870+00:00 ; ESPZB1light ; ON
2025-12-24T11:45:52.516773+00:00 ; Hue9GF ; OFF
2025-12-24T11:46:10.516366+00:00 ; ESPZB2light ; OFF
2025-12-24T11:46:17.518668+00:00 ; ESPZB1light ; OFF
2025-12-24T11:47:08.517162+00:00 ; HueWhite1549 ; OFF
2025-12-24T11:47:10.517342+00:00 ; HueWhite1549 ; ON
2025-12-24T11:48:33.516330+00:00 ; ESPZB3light ; OFF
2025-12-24T11:48:45.523102+00:00 ; ESPZB2light ; ON
2025-12-24T11:49:21.517290+00:00 ; HueWhite1549 ; OFF
2025-12-24T11:49:30.517187+00:00 ; Hue9L7 ; ON
2025-12-24T11:50:08.516011+00:00 ; Hue9GF ; ON
2025-12-24T11:50:26.523366+00:00 ; Hue9GF ; OFF
2025-12-24T11:50:46.506989+00:00 ; ESPZB2light ; OFF
2025-12-24T11:50:48.523736+00:00 ; ESPZB2light ; ON
2025-12-24T11:51:30.517783+00:00 ; Hue9GF ; ON
2025-12-24T11:52:02.523426+00:00 ; ESPZB3light ; ON
2025-12-24T11:52:51.515268+00:00 ; ESPZB3light ; OFF
2025-12-24T11:52:59.516314+00:00 ; ESPZB1light ; ON
2025-12-24T11:54:07.508261+00:00 ; Hue9L7 ; OFF
2025-12-24T11:54:59.546965+00:00 ; Hue9L7 ; ON
2025-12-24T11:55:55.516771+00:00 ; Hue9L7 ; OFF
2025-12-24T11:56:10.516187+00:00 ; Hue9L7 ; ON
2025-12-24T11:56:15.516054+00:00 ; ESPZB1light ; OFF
2025-12-24T11:57:06.517835+00:00 ; Hue9GF ; OFF
2025-12-24T11:57:08.515542+00:00 ; ESPZB2light ; OFF
2025-12-24T11:57:14.516963+00:00 ; ESPZB2light ; ON
2025-12-24T11:58:05.522775+00:00 ; ESPZB2light ; OFF
2025-12-24T11:58:15.515424+00:00 ; ESPZB3light ; ON
2025-12-24T11:58:58.517651+00:00 ; Hue9L7 ; OFF
2025-12-24T11:59:19.517024+00:00 ; Hue9GF ; ON
2025-12-24T12:00:09.513594+00:00 ; ESPZB2light ; ON
2025-12-24T12:00:48.516916+00:00 ; ESPZB2light ; OFF
2025-12-24T12:01:20.516574+00:00 ; ESPZB1light ; ON
2025-12-24T12:02:20.516699+00:00 ; Hue9GF ; OFF
2025-12-24T12:03:53.515925+00:00 ; Hue9GF ; ON
2025-12-24T12:04:49.517129+00:00 ; ESPZB1light ; OFF
2025-12-24T12:04:52.509695+00:00 ; Hue9GF ; OFF
2025-12-24T12:05:21.516016+00:00 ; Hue9L7 ; ON
2025-12-24T12:05:29.515911+00:00 ; ESPZB3light ; OFF
2025-12-24T12:06:31.512323+00:00 ; ESPZB3light ; ON
2025-12-24T12:06:42.513677+00:00 ; ESPZB2light ; ON
2025-12-24T12:06:54.517233+00:00 ; Hue9L7 ; OFF
2025-12-24T12:07:37.517472+00:00 ; Hue9L7 ; ON
2025-12-24T12:08:11.516529+00:00 ; Hue9GF ; ON
2025-12-24T12:08:34.524343+00:00 ; ESPZB1light ; ON
2025-12-24T12:08:55.515251+00:00 ; ESPZB3light ; OFF
2025-12-24T12:09:26.509773+00:00 ; ESPZB3light ; ON
2025-12-24T12:09:41.520656+00:00 ; ESPZB2light ; OFF
2025-12-24T12:09:55.516841+00:00 ; HueWhite1549 ; ON
2025-12-24T12:10:36.517950+00:00 ; ESPZB3light ; OFF
2025-12-24T12:11:22.515845+00:00 ; HueWhite0475 ; OFF
2025-12-24T12:11:35.517423+00:00 ; HueWhite1549 ; OFF
2025-12-24T12:11:43.522510+00:00 ; Hue9GF ; OFF
2025-12-24T12:12:35.514871+00:00 ; Hue9GF ; ON
2025-12-24T12:13:06.507620+00:00 ; ESPZB1light ; OFF
2025-12-24T12:14:15.524549+00:00 ; ESPZB1light ; ON
2025-12-24T12:14:31.517050+00:00 ; HueWhite0475 ; ON
2025-12-24T12:14:38.516908+00:00 ; ESPZB3light ; ON
2025-12-24T12:15:20.517235+00:00 ; ESPZB2light ; ON
2025-12-24T12:15:54.522749+00:00 ; HueWhite1549 ; ON
2025-12-24T12:16:05.518657+00:00 ; HueWhite1549 ; OFF
2025-12-24T12:16:19.515637+00:00 ; ESPZB3light ; OFF
2025-12-24T12:17:02.513495+00:00 ; ESPZB3light ; ON
2025-12-24T12:17:34.516320+00:00 ; Hue9GF ; OFF
2025-12-24T12:17:52.516849+00:00 ; ESPZB1light ; OFF
2025-12-24T12:18:00.517307+00:00 ; HueWhite0475 ; OFF
2025-12-24T12:18:15.515880+00:00 ; HueWhite1549 ; ON
2025-12-24T12:18:42.522912+00:00 ; ESPZB2light ; OFF
2025-12-24T12:19:33.517878+00:00 ; ESPZB1light ; ON
2025-12-24T12:20:16.515225+00:00 ; HueWhite1549 ; OFF
2025-12-24T12:21:01.524544+00:00 ; HueWhite0475 ; ON
2025-12-24T12:21:04.517191+00:00 ; Hue9L7 ; OFF
2025-12-24T12:21:08.516773+00:00 ; ESPZB1light ; OFF
2025-12-24T12:22:26.516269+00:00 ; ESPZB3light ; OFF
