Timestamp,Device,Command
2025-12-21T17:09:27.193747+00:00,ESP2light,ON
2025-12-21T17:09:35.184723+00:00,Nanoleaf1624,OFF
2025-12-21T17:10:03.184401+00:00,Nanoleaf0176,OFF
2025-12-21T17:10:53.185592+00:00,Nanoleaf1624,ON
2025-12-21T17:11:11.185519+00:00,HueWhite1549,OFF
2025-12-21T17:11:11.207657+00:00,ESP1light,ON
2025-12-21T17:11:24.185363+00:00,ESP2light,OFF
2025-12-21T17:11:50.187105+00:00,Nanoleaf0176,ON
2025-12-21T17:11:55.185627+00:00,ESP1light,OFF
2025-12-21T17:12:45.183280+00:00,Nanoleaf1624,OFF
2025-12-21T17:13:05.190992+00:00,HueWhite1549,ON
2025-12-21T17:13:49.185674+00:00,ESP1light,ON
2025-12-21T17:13:50.186235+00:00,ESP3light,OFF
2025-12-21T17:14:09.184299+00:00,Nanoleaf0176,OFF
2025-12-21T17:14:50.193704+00:00,ESP1light,OFF
2025-12-21T17:15:27.184451+00:00,HueWhite1549,OFF
2025-12-21T17:16:59.185231+00:00,HueWhite1549,ON
2025-12-21T17:17:36.183567+00:00,HueWhite1549,OFF
2025-12-21T17:18:06.185127+00:00,ESP1light,ON
2025-12-21T17:18:34.184095+00:00,HueWhite1549,ON
2025-12-21T17:19:34.184491+00:00,HueWhite0475,ON
2025-12-21T17:20:06.183084+00:00,ESP1light,OFF
2025-12-21T17:20:33.186254+00:00,Nanoleaf0176,ON
2025-12-21T17:20:40.185028+00:00,Nanoleaf1624,ON
2025-12-21T17:20:45.184043+00:00,ESP3light,ON
2025-12-21T17:20:53.185348+00:00,ESP1light,ON
2025-12-21T17:21:47.191355+00:00,Nanoleaf0176,OFF
2025-12-21T17:21:55.184497+00:00,Nanoleaf0176,ON
2025-12-21T17:22:38.186091+00:00,HueWhite0475,OFF
2025-12-21T17:23:55.184546+00:00,Nanoleaf0176,OFF
2025-12-21T17:23:59.184381+00:00,ESP2light,ON
2025-12-21T17:24:03.185044+00:00,HueWhite0475,ON
2025-12-21T17:24:33.186332+00:00,Nanoleaf1624,OFF
2025-12-21T17:25:05.183092+00:00,ESP3light,OFF
2025-12-21T17:25:12.185763+00:00,ESP1light,OFF
2025-12-21T17:25:45.192100+00:00,Nanoleaf1624,ON
2025-12-21T17:26:28.185771+00:00,Nanoleaf1624,OFF
2025-12-21T17:26:43.186432+00:00,Nanoleaf1624,ON
2025-12-21T17:28:07.185526+00:00,Nanoleaf0176,ON
2025-12-21T17:28:08.192456+00:00,Nanoleaf1624,OFF
2025-12-21T17:28:38.184950+00:00,ESP2light,OFF
2025-12-21T17:29:11.184613+00:00,Nanoleaf1624,ON
2025-12-21T17:29:29.185076+00:00,Nanoleaf1624,OFF
2025-12-21T17:30:06.190766+00:00,Nanoleaf0176,OFF
2025-12-21T17:30:44.182732+00:00,HueWhite1549,OFF
2025-12-21T17:31:15.185275+00:00,ESP1light,ON
2025-12-21T17:32:09.184721+00:00,HueWhite1549,ON
2025-12-21T17:32:12.191300+00:00,Nanoleaf0176,ON
2025-12-21T17:32:37.183732+00:00,HueWhite1549,OFF
2025-12-21T17:33:09.184269+00:00,Nanoleaf0176,OFF
2025-12-21T17:33:21.185950+00:00,ESP2light,ON
2025-12-21T17:33:53.183843+00:00,ESP1light,OFF
2025-12-21T17:34:43.188486+00:00,ESP3light,ON
2025-12-21T17:35:21.184070+00:00,ESP2light,OFF
2025-12-21T17:35:57.184442+00:00,ESP3light,OFF
2025-12-21T17:36:22.190530+00:00,HueWhite0475,OFF
2025-12-21T17:37:08.185360+00:00,HueWhite0475,ON
2025-12-21T17:37:31.187418+00:00,HueWhite0475,OFF
2025-12-21T17:37:46.182876+00:00,HueWhite1549,ON
2025-12-21T17:38:11.187289+00:00,ESP2light,ON
2025-12-21T17:40:05.183209+00:00,Nanoleaf1624,ON
2025-12-21T17:40:09.188351+00:00,ESP1light,ON
2025-12-21T17:41:18.186683+00:00,HueWhite0475,ON
2025-12-21T17:41:46.190786+00:00,ESP2light,OFF
2025-12-21T17:42:18.187447+00:00,Nanoleaf0176,ON
2025-12-21T17:42:39.185132+00:00,ESP3light,ON
2025-12-21T17:42:50.185641+00:00,ESP1light,OFF
2025-12-21T17:42:54.184510+00:00,Nanoleaf0176,OFF
2025-12-21T17:42:58.197629+00:00,HueWhite0475,OFF
2025-12-21T17:44:20.185913+00:00,HueWhite1549,OFF
2025-12-21T17:45:06.184271+00:00,ESP3light,OFF
2025-12-21T17:45:29.183139+00:00,HueWhite1549,ON
2025-12-21T17:45:32.186877+00:00,ESP2light,ON
2025-12-21T17:45:55.184034+00:00,Nanoleaf1624,OFF
2025-12-21T17:46:01.183415+00:00,ESP1light,ON
2025-12-21T17:47:24.186311+00:00,HueWhite1549,OFF
2025-12-21T17:47:29.182473+00:00,ESP2light,OFF
2025-12-21T17:47:59.184099+00:00,Nanoleaf0176,ON
2025-12-21T17:49:08.184966+00:00,ESP1light,OFF
2025-12-21T17:49:48.185775+00:00,Nanoleaf1624,ON
2025-12-21T17:50:45.187668+00:00,Nanoleaf0176,OFF
2025-12-21T17:50:57.185010+00:00,HueWhite0475,ON
2025-12-21T17:51:03.184077+00:00,Nanoleaf0176,ON
2025-12-21T17:51:54.184979+00:00,Nanoleaf0176,OFF
2025-12-21T17:52:28.184747+00:00,HueWhite0475,OFF
2025-12-21T17:52:30.185408+00:00,Nanoleaf0176,ON
2025-12-21T17:52:41.186312+00:00,ESP1light,ON
2025-12-21T17:54:02.188811+00:00,Nanoleaf1624,OFF
2025-12-21T17:54:39.183873+00:00,HueWhite0475,ON
2025-12-21T17:55:06.185134+00:00,ESP1light,OFF
2025-12-21T17:55:26.187578+00:00,HueWhite1549,ON
2025-12-21T17:55:43.191366+00:00,Nanoleaf0176,OFF
2025-12-21T17:56:01.186584+00:00,HueWhite0475,OFF
2025-12-21T17:56:06.182509+00:00,Nanoleaf1624,ON
2025-12-21T17:56:42.187998+00:00,ESP1light,ON
2025-12-21T17:56:48.184309+00:00,Nanoleaf1624,OFF
2025-12-21T17:58:10.184786+00:00,Nanoleaf0176,ON
2025-12-21T17:58:17.184699+00:00,ESP3light,ON
2025-12-21T17:58:24.184946+00:00,HueWhite1549,OFF
2025-12-21T17:58:34.182863+00:00,Nanoleaf1624,ON
2025-12-21T17:59:06.189825+00:00,HueWhite0475,ON
2025-12-21T17:59:22.185670+00:00,Nanoleaf0176,OFF
2025-12-21T17:59:35.186194+00:00,HueWhite1549,ON
2025-12-21T18:00:44.186084+00:00,HueWhite0475,OFF
2025-12-21T18:01:04.184081+00:00,HueWhite1549,OFF
2025-12-21T18:02:24.183700+00:00,HueWhite0475,ON
2025-12-21T18:02:35.185557+00:00,Nanoleaf1624,OFF
2025-12-21T18:03:06.184929+00:00,HueWhite1549,ON
2025-12-21T18:03:20.183966+00:00,HueWhite0475,OFF
2025-12-21T18:03:31.184894+00:00,ESP1light,OFF
2025-12-21T18:03:41.191508+00:00,Nanoleaf0176,ON
2025-12-21T18:04:12.184066+00:00,HueWhite1549,OFF
2025-12-21T18:04:31.183655+00:00,ESP3light,OFF
2025-12-21T18:05:47.182859+00:00,ESP1light,ON
2025-12-21T18:05:53.211392+00:00,HueWhite1549,ON
2025-12-21T18:06:23.182116+00:00,ESP3light,ON
2025-12-21T18:06:42.182753+00:00,ESP3light,OFF
2025-12-21T18:07:09.183862+00:00,ESP2light,ON
2025-12-21T18:07:48.191891+00:00,ESP2light,OFF
2025-12-21T18:08:07.185011+00:00,Nanoleaf0176,OFF
2025-12-21T18:08:21.185043+00:00,ESP2light,ON
2025-12-21T18:08:45.185976+00:00,HueWhite0475,ON
2025-12-21T18:09:18.185348+00:00,ESP2light,OFF
2025-12-21T18:09:35.184884+00:00,ESP2light,ON
2025-12-21T18:09:37.185523+00:00,Nanoleaf0176,ON
2025-12-21T18:10:22.185364+00:00,HueWhite1549,OFF
2025-12-21T18:10:29.183608+00:00,ESP2light,OFF
2025-12-21T18:11:25.194505+00:00,ESP2light,ON
2025-12-21T18:11:43.184582+00:00,ESP3light,ON
2025-12-21T18:12:00.186144+00:00,ESP3light,OFF
2025-12-21T18:12:16.183939+00:00,HueWhite0475,OFF
2025-12-21T18:13:15.185008+00:00,Nanoleaf0176,OFF
2025-12-21T18:13:28.192235+00:00,ESP2light,OFF
2025-12-21T18:13:37.185721+00:00,ESP2light,ON
2025-12-21T18:13:42.183696+00:00,Nanoleaf0176,ON
2025-12-21T18:15:14.184661+00:00,ESP1light,OFF
2025-12-21T18:15:56.194383+00:00,ESP1light,ON
2025-12-21T18:16:12.184710+00:00,ESP1light,OFF
2025-12-21T18:16:37.185846+00:00,HueWhite1549,ON
2025-12-21T18:16:47.184123+00:00,HueWhite0475,ON
2025-12-21T18:17:18.184342+00:00,ESP1light,ON
2025-12-21T18:17:19.187930+00:00,ESP1light,OFF
2025-12-21T18:17:51.183130+00:00,ESP1light,ON
2025-12-21T18:18:21.183636+00:00,HueWhite0475,OFF
2025-12-21T18:18:38.186742+00:00,Nanoleaf1624,ON
2025-12-21T18:19:37.182454+00:00,ESP2light,OFF
2025-12-21T18:19:43.183746+00:00,Nanoleaf0176,OFF
2025-12-21T18:20:02.183372+00:00,ESP2light,ON
2025-12-21T18:21:14.185279+00:00,Nanoleaf0176,ON
2025-12-21T18:21:18.183997+00:00,ESP3light,ON
2025-12-21T18:22:16.182436+00:00,HueWhite0475,ON
2025-12-21T18:22:17.183940+00:00,ESP3light,OFF
2025-12-21T18:22:33.186760+00:00,HueWhite1549,OFF
2025-12-21T18:23:11.186598+00:00,Nanoleaf0176,OFF
2025-12-21T18:23:35.184369+00:00,Nanoleaf0176,ON
2025-12-21T18:24:06.183575+00:00,ESP2light,OFF
2025-12-21T18:24:22.183902+00:00,Nanoleaf0176,OFF
2025-12-21T18:24:49.183118+00:00,ESP3light,ON
2025-12-21T18:25:06.185217+00:00,ESP1light,OFF
2025-12-21T18:26:11.185591+00:00,Nanoleaf1624,OFF
2025-12-21T18:26:31.185597+00:00,ESP1light,ON
